Roll no,Division,Tutorial,Lab,Location
220101007,III,T2,L6,5002
220101008,III,T2,L6,5002
220101009,III,T3,L6,5003
220101010,III,T3,L6,5003
220101011,III,T3,L6,5003
220101012,III,T3,L6,5003
220101013,III,T4,L6,5004
220101014,III,T4,L6,5004
220101015,III,T4,L6,5004
220101016,III,T4,L6,5004
220101017,III,T4,L6,5004
220101018,III,T5,L6,5005
220101019,III,T5,L6,5005
220101020,III,T5,L6,5005
220101021,III,T5,L6,5005
220101022,III,T6,L6,5006
220101023,III,T6,L6,5006
220101024,III,T6,L6,5006
220101025,III,T6,L6,5006
220101026,III,T7,L6,5101
220101027,III,T7,L6,5101
220101028,III,T7,L6,5101
220101029,III,T7,L6,5101
220101030,III,T7,L6,5101
220101031,III,T8,L6,5102
220101032,III,T8,L6,5102
220101033,III,T8,L6,5102
220101034,III,T8,L6,5102
220101035,III,T8,L6,5102
220101036,III,T9,L6,5103
220101037,III,T9,L6,5103
220101038,III,T9,L6,5103
220101039,III,T9,L6,5103
220101040,III,T9,L6,5103
220101041,III,T10,L6,5104
220101042,III,T10,L6,5104
220101043,III,T10,L6,5104
220101044,III,T10,L6,5104
220101045,III,T10,L6,5104
220101046,III,T11,L6,5105
220101047,III,T11,L6,5105
220101048,III,T11,L6,5105
220101049,III,T11,L6,5105
220101050,III,T11,L6,5105
220101051,III,T12,L6,5106
220101052,III,T12,L6,5106
220101053,III,T12,L6,5106
220101054,III,T12,L6,5106
220101055,III,T12,L6,5106
220101056,III,T13,L6,5201
220101057,III,T13,L6,5201
220101058,III,T13,L6,5201
220101059,III,T13,L6,5201
220101060,III,T13,L6,5201
220101061,III,T14,L6,5202
220101062,III,T14,L6,5202
220101063,III,T14,L6,5202
220101064,III,T14,L6,5202
220101065,III,T14,L6,5202
220101066,III,T15,L6,5203
220101067,III,T15,L6,5203
220101068,III,T15,L6,5203
220101069,III,T15,L6,5203
220101070,III,T15,L6,5203
220101071,III,T15,L6,5203
220101072,III,T16,L6,5204
220101073,III,T16,L6,5204
220101074,III,T16,L6,5204
220101075,III,T16,L6,5204
220101076,III,T16,L6,5204
220101077,III,T16,L6,5204
220101078,III,T16,L6,5204
220101079,III,T16,L6,5204
220101080,III,T17,L6,5205
220101081,III,T17,L6,5205
220101082,III,T17,L6,5205
220101083,III,T17,L6,5205
220101084,III,T17,L6,5205
220101085,III,T17,L6,5205
220101086,III,T17,L6,5205
220101087,III,T17,L6,5205
220101088,III,T17,L6,5205
220101089,III,T18,L6,5206
220101090,III,T18,L6,5206
220101091,III,T18,L6,5206
220101092,III,T18,L6,5206
220101093,III,T18,L6,5206
220101094,III,T18,L6,5206
220101095,III,T18,L6,5206
220101096,III,T18,L6,5206
220101097,III,T18,L6,5206
220101098,III,T19,L6,5G1
220101099,III,T19,L6,5G1
220101100,III,T19,L6,5G1
220101101,III,T19,L7,5G1
220101102,III,T19,L7,5G1
220101103,III,T19,L7,5G1
220101104,III,T19,L7,5G1
220101105,III,T19,L7,5G1
220101106,III,T19,L7,5G1
220101107,III,T19,L7,5G1
220101108,III,T19,L7,5G1
220101109,III,T19,L7,5G1
220101110,III,T19,L7,5G1
220101111,III,T20,L7,5G2
220101112,III,T20,L7,5G2
220101113,III,T20,L7,5G2
220101114,III,T20,L7,5G2
220101115,III,T20,L7,5G2
220121001,III,T1,L7,5001
220121002,III,T1,L7,5001
220121003,III,T1,L7,5001
220121004,III,T1,L7,5001
220121005,III,T2,L7,5002
220121006,III,T2,L7,5002
220121007,III,T2,L7,5002
220121008,III,T2,L7,5002
220121009,III,T3,L7,5003
220121010,III,T3,L7,5003
220121011,III,T3,L7,5003
220121012,III,T3,L7,5003
220121013,III,T4,L7,5004
220121014,III,T4,L7,5004
220121015,III,T4,L7,5004
220121016,III,T4,L7,5004
220121017,III,T4,L7,5004
220121018,III,T5,L7,5005
220121019,III,T5,L7,5005
220121020,III,T5,L7,5005
220121021,III,T5,L7,5005
220121022,III,T6,L7,5006
220121023,III,T6,L7,5006
220121024,III,T6,L7,5006
220121025,III,T6,L7,5006
220121026,III,T7,L7,5101
220121027,III,T7,L7,5101
220121028,III,T7,L7,5101
220121029,III,T7,L7,5101
220121030,III,T7,L7,5101
220121031,III,T8,L7,5102
220121032,III,T8,L7,5102
220121033,III,T8,L7,5102
220121034,III,T8,L7,5102
220121035,III,T8,L7,5102
220121036,III,T9,L7,5103
220121037,III,T9,L7,5103
220121038,III,T9,L7,5103
220121039,III,T9,L7,5103
220121040,III,T9,L7,5103
220121041,III,T10,L7,5104
220121042,III,T10,L7,5104
220121043,III,T10,L7,5104
220121044,III,T10,L7,5104
220121045,III,T10,L7,5104
220121046,III,T11,L7,5105
220121047,III,T11,L7,5105
220121048,III,T11,L7,5105
220121049,III,T11,L7,5105
220121050,III,T11,L7,5105
220121051,III,T12,L7,5106
220121052,III,T12,L7,5106
220121053,III,T12,L7,5106
220121054,III,T12,L7,5106
220121055,III,T12,L7,5106
220121056,III,T13,L7,5201
220121057,III,T13,L7,5201
220121058,III,T13,L7,5201
220121059,III,T13,L7,5201
220121060,III,T13,L7,5201
220121061,III,T14,L7,5202
220121062,III,T14,L7,5202
220121063,III,T14,L7,5202
220121064,III,T14,L7,5202
220121065,III,T14,L7,5202
220121066,III,T15,L7,5203
220121067,III,T15,L7,5203
220121068,III,T15,L7,5203
220121069,III,T15,L7,5203
220121070,III,T15,L7,5203
220123001,III,T1,L7,5001
220123002,III,T1,L7,5001
220123003,III,T1,L7,5001
220123004,III,T1,L7,5001
220123005,III,T2,L7,5002
220123006,III,T2,L7,5002
220123007,III,T2,L7,5002
220123008,III,T2,L7,5002
220123009,III,T3,L7,5003
220123010,III,T3,L7,5003
220123011,III,T3,L7,5003
220123012,III,T3,L7,5003
220123013,III,T4,L7,5004
220123014,III,T4,L7,5004
220123015,III,T4,L7,5004
220123016,III,T4,L7,5004
220123017,III,T5,L7,5005
220123018,III,T5,L7,5005
220123019,III,T5,L8,5005
220123020,III,T5,L8,5005
220123021,III,T5,L8,5005
220123022,III,T6,L8,5006
220123023,III,T6,L8,5006
220123024,III,T6,L8,5006
220123025,III,T6,L8,5006
220123026,III,T7,L8,5101
220123027,III,T7,L8,5101
220123028,III,T7,L8,5101
220123029,III,T7,L8,5101
220123030,III,T7,L8,5101
220123031,III,T8,L8,5102
220123032,III,T8,L8,5102
220123033,III,T8,L8,5102
220123034,III,T8,L8,5102
220123035,III,T8,L8,5102
220123036,III,T9,L8,5103
220123037,III,T9,L8,5103
220123038,III,T9,L8,5103
220123039,III,T9,L8,5103
220123040,III,T9,L8,5103
220123041,III,T10,L8,5104
220123042,III,T10,L8,5104
220123043,III,T10,L8,5104
220123044,III,T10,L8,5104
220123045,III,T10,L8,5104
220123046,III,T11,L8,5105
220123047,III,T11,L8,5105
220123048,III,T11,L8,5105
220123049,III,T11,L8,5105
220123050,III,T11,L8,5105
220123051,III,T12,L8,5106
220123052,III,T12,L8,5106
220123053,III,T12,L8,5106
220123054,III,T12,L8,5106
220123055,III,T12,L8,5106
220123056,III,T13,L8,5201
220123057,III,T13,L8,5201
220123058,III,T13,L8,5201
220123059,III,T13,L8,5201
220123060,III,T13,L8,5201
220123061,III,T14,L8,5202
220123062,III,T14,L8,5202
220123063,III,T14,L8,5202
220123064,III,T14,L8,5202
220123065,III,T14,L8,5202
220123066,III,T15,L8,5203
220123067,III,T15,L8,5203
220123068,III,T15,L8,5203
220123069,III,T15,L8,5203
220123070,III,T15,L8,5203
220123071,III,T15,L8,5203
220123072,III,T16,L8,5204
220123073,III,T16,L8,5204
220107001,IV,T1,L8,5001
220107002,IV,T1,L8,5001
220107003,IV,T1,L8,5001
220107004,IV,T1,L8,5001
220107005,IV,T2,L8,5002
220107006,IV,T2,L8,5002
220107007,IV,T2,L8,5002
220107008,IV,T2,L8,5002
220107009,IV,T3,L8,5003
220107010,IV,T3,L8,5003
220107011,IV,T3,L8,5003
220107012,IV,T3,L8,5003
220107013,IV,T4,L8,5004
220107014,IV,T4,L8,5004
220107015,IV,T4,L8,5004
220107016,IV,T4,L8,5004
220107017,IV,T5,L8,5005
220107018,IV,T5,L8,5005
220107019,IV,T5,L8,5005
220107020,IV,T5,L8,5005
220107021,IV,T5,L8,5005
220107022,IV,T6,L8,5006
220107023,IV,T6,L8,5006
220107024,IV,T6,L8,5006
220107025,IV,T6,L8,5006
220107026,IV,T7,L8,5101
220107027,IV,T7,L8,5101
220107028,IV,T7,L8,5101
220107029,IV,T7,L8,5101
220107030,IV,T7,L8,5101
220107031,IV,T8,L8,5102
220107032,IV,T8,L8,5102
220107033,IV,T8,L8,5102
220107034,IV,T8,L8,5102
220107035,IV,T8,L8,5102
220107036,IV,T9,L8,5103
220107037,IV,T9,L8,5103
220107038,IV,T9,L8,5103
220107039,IV,T9,L8,5103
220107040,IV,T9,L8,5103
220107041,IV,T10,L8,5104
220107042,IV,T10,L8,5104
220107043,IV,T10,L8,5104
220107044,IV,T10,L8,5104
220107045,IV,T10,L8,5104
220107046,IV,T11,L8,5105
220107047,IV,T11,L8,5105
220107048,IV,T11,L8,5105
220107049,IV,T11,L9,5105
220107050,IV,T11,L9,5105
220107051,IV,T12,L9,5106
220107052,IV,T12,L9,5106
220107053,IV,T12,L9,5106
220107054,IV,T12,L9,5106
220107055,IV,T12,L9,5106
220107056,IV,T13,L9,5201
220107057,IV,T13,L9,5201
220107058,IV,T13,L9,5201
220107059,IV,T13,L9,5201
220107060,IV,T13,L9,5201
220107061,IV,T14,L9,5202
220107062,IV,T14,L9,5202
220107063,IV,T14,L9,5202
220107064,IV,T14,L9,5202
220107065,IV,T14,L9,5202
220107066,IV,T15,L9,5203
220107067,IV,T15,L9,5203
220107068,IV,T15,L9,5203
220107069,IV,T15,L9,5203
220107070,IV,T15,L9,5203
220107071,IV,T15,L9,5203
220107072,IV,T16,L9,5204
220107073,IV,T16,L9,5204
220107074,IV,T16,L9,5204
220107075,IV,T16,L9,5204
220107076,IV,T16,L9,5204
220107077,IV,T16,L9,5204
220107078,IV,T16,L9,5204
220107079,IV,T16,L9,5204
220107080,IV,T17,L9,5205
220107081,IV,T17,L9,5205
220107082,IV,T17,L9,5205
220107083,IV,T17,L9,5205
220107084,IV,T17,L9,5205
220107085,IV,T17,L9,5205
220107086,IV,T17,L9,5205
220107087,IV,T17,L9,5205
220107088,IV,T17,L9,5205
220107089,IV,T18,L9,5206
220107090,IV,T18,L9,5206
220107091,IV,T18,L9,5206
220107092,IV,T18,L9,5206
220107093,IV,T18,L9,5206
220107094,IV,T18,L9,5206
220107095,IV,T18,L9,5206
220107096,IV,T18,L9,5206
220107097,IV,T18,L9,5206
220107098,IV,T19,L9,5G1
220122001,IV,T1,L9,5001
220122002,IV,T1,L9,5001
220122003,IV,T1,L9,5001
220122004,IV,T1,L9,5001
220122005,IV,T2,L9,5002
220122006,IV,T2,L9,5002
220122007,IV,T2,L9,5002
220122008,IV,T2,L9,5002
220122009,IV,T3,L9,5003
220122010,IV,T3,L9,5003
220122011,IV,T3,L9,5003
220122012,IV,T3,L9,5003
220122013,IV,T4,L9,5004
220122014,IV,T4,L9,5004
220122015,IV,T4,L9,5004
220122016,IV,T4,L9,5004
220122017,IV,T5,L9,5005
220122018,IV,T5,L9,5005
220122019,IV,T5,L9,5005
220122020,IV,T5,L9,5005
220122021,IV,T5,L9,5005
220122022,IV,T6,L9,5006
220122023,IV,T6,L9,5006
220122024,IV,T6,L9,5006
220122025,IV,T6,L9,5006
220122026,IV,T7,L9,5101
220122027,IV,T7,L9,5101
220122028,IV,T7,L9,5101
220122029,IV,T7,L9,5101
220122030,IV,T7,L9,5101
220122031,IV,T8,L9,5102
220122032,IV,T8,L9,5102
220122033,IV,T8,L9,5102
220122034,IV,T8,L9,5102
220122035,IV,T8,L9,5102
220122036,IV,T9,L9,5103
220122037,IV,T9,L9,5103
220122038,IV,T9,L9,5103
220122039,IV,T9,L9,5103
220122040,IV,T9,L9,5103
220122041,IV,T10,L9,5104
220122042,IV,T10,L9,5104
220122043,IV,T10,L9,5104
220122044,IV,T10,L9,5104
220122045,IV,T10,L9,5104
220122046,IV,T11,L9,5105
220122047,IV,T11,L9,5105
220122048,IV,T11,L9,5105
220122049,IV,T11,L9,5105
220122050,IV,T11,L9,5105
220122051,IV,T12,L9,5106
220122052,IV,T12,L9,5106
220122053,IV,T12,L9,5106
220122054,IV,T12,L10,5106
220122055,IV,T12,L10,5106
220122056,IV,T13,L10,5201
220122057,IV,T13,L10,5201
220122058,IV,T13,L10,5201
220122059,IV,T13,L10,5201
220122060,IV,T13,L10,5201
220122061,IV,T14,L10,5202
220122062,IV,T14,L10,5202
220122063,IV,T14,L10,5202
220122064,IV,T14,L10,5202
220122065,IV,T14,L10,5202
220122066,IV,T15,L10,5203
220150001,IV,T1,L10,5001
220150002,IV,T1,L10,5001
220150003,IV,T1,L10,5001
220150004,IV,T1,L10,5001
220150005,IV,T2,L10,5002
220150006,IV,T2,L10,5002
220150007,IV,T2,L10,5002
220150008,IV,T2,L10,5002
220150009,IV,T3,L10,5003
220150010,IV,T3,L10,5003
220150011,IV,T3,L10,5003
220150012,IV,T3,L10,5003
220150013,IV,T4,L10,5004
220150014,IV,T4,L10,5004
220150015,IV,T4,L10,5004
220150016,IV,T4,L10,5004
220150017,IV,T5,L10,5005
220150018,IV,T5,L10,5005
220150019,IV,T5,L10,5005
220150020,IV,T5,L10,5005
220150021,IV,T6,L10,5006
220150022,IV,T6,L10,5006
220150023,IV,T6,L10,5006
220150024,IV,T6,L10,5006
220150025,IV,T6,L10,5006
220150026,IV,T7,L10,5101
220150027,IV,T7,L10,5101
220150028,IV,T7,L10,5101
220150029,IV,T7,L10,5101
220150030,IV,T7,L10,5101
220205001,IV,T21,L10,1102
220205002,IV,T21,L10,1102
220205003,IV,T21,L10,1102
220205004,IV,T21,L10,1102
220205005,IV,T21,L10,1102
220205006,IV,T21,L10,1102
220205007,IV,T21,L10,1102
220205008,IV,T21,L10,1102
220205009,IV,T21,L10,1102
220205010,IV,T21,L10,1102
220205011,IV,T21,L10,1102
220205012,IV,T21,L10,1102
220205013,IV,T21,L10,1102
220205014,IV,T21,L10,1102
220205015,IV,T21,L10,1102
220205016,IV,T21,L10,1102
220205017,IV,T21,L10,1102
220205018,IV,T21,L10,1102
220205019,IV,T21,L10,1102
220205020,IV,T21,L10,1102
220205021,IV,T21,L10,1102
220205022,IV,T21,L10,1102
220205023,IV,T21,L10,1102
220205024,IV,T21,L10,1102
220205025,IV,T21,L10,1102
220205026,IV,T21,L10,1102
220205027,IV,T21,L10,1102
220205028,IV,T21,L10,1102
220205029,IV,T21,L10,1102
220205030,IV,T21,L10,1102
220205031,IV,T21,L10,1102
220205032,IV,T21,L10,1102
220205033,IV,T21,L10,1102
220205034,IV,T21,L10,1102
220205035,IV,T21,L10,1102
220205036,IV,T21,L10,1102
220205037,IV,T21,L10,1102
220205038,IV,T21,L10,1102
220205039,IV,T21,L10,1102
220205040,IV,T21,L10,1102
220205041,IV,T21,L10,1102
220205042,IV,T21,L10,1102
220205043,IV,T21,L10,1102
220205044,IV,T21,L10,1102
220205045,IV,T21,L10,1102
220205046,IV,T21,L10,1102
220205047,IV,T21,L10,1102
220205048,IV,T21,L10,1102
220205049,IV,T21,L10,1102
220205050,IV,T21,L10,1102
220205051,IV,T21,L10,1102
220205052,IV,T21,L10,1102
220205053,IV,T21,L10,1102
220205054,IV,T21,L10,1102
220205055,IV,T21,L10,1102
