code,venue,pre-mid
CS101CSE,5305,
CS102CSE,5305,
CS103CSE(H),5305,
EE101CSE(H),5305,true
EE102CSE(H),5305,false
MA101CSE(H),5305,true
MA102CSE(H),5305,false
CS102ECE,5301,
ME101ECE,5301,
PH101ECE(H),5301,true
PH102ECE(H),5301,false
EE103ECE,5301,
MA101ECE(H),5301,true
MA102ECE(H),5301,false
CS102EEE,5303,
ME101EEE,5302,
PH101EEE(H),5302,true
PH102EEE(H),5302,false
EE104EEE,5301,
MA101EEE(H),5302,true
MA102EEE(H),5302,false
CS102ME,5402,
ME102ME,5402,
EE101ME(H),5402,true
EE102ME(H),5402,false
ME103ME,5402,
MA101ME(H),5402,true
MA102ME(H),5402,false
CE101CE,5403,
CE102CE,5403,
CE103CE,5403,
CE104CE,5403,
PH101CE(H),5403,false
MA101CE(H),5403,true
MA102CE(H),5403,false
CH101BSBE(H),5401,true
CH102BSBE(H),5401,false
CL101BSBE,5401,
PH102BSBE(H),5401,false
ME101BSBE,5401,
MA101BSBE(H),5401,true
MA102BSBE(H),5401,false
BT101BSBE,5401,
DA102BSBE(H),,false
CH101CL(H),5306,false
CH102CL(H),5306,true
EE101CL(H),5306,true
EE102CL(H),5306,false
PH101CL(H),5306,false
MA101CL(H),5306,true
MA102CL(H),5306,false
CL102CL,5306,
CH101EP(H),5303,false
CS102EP,5303,
ME101EP,5303,
MA101EP(H),5303,true
MA102EP(H),5303,false
PH103EP,5303,
CL101CST,5302,
ME101CST,5302,
PH101CST(H),5302,true
PH102CST(H),5302,false
MA101CST(H),5302,true
MA102CST(H),5302,false
CH103CST,5302,
CH101MC(H),5304,true
CH102MC(H),5304,false
PH101MC(H),5304,true
PH102MC(H),5304,false
MA101MC(H),5303,true
MA102MC(H),5303,false
ME101MC,5304,
CS103MC,5304,
PH101DSAI(H),5304,true
PH102DSAI(H),5304,false
MA101DSAI(H),5304,true
MA102DSAI(H),5304,false
DA102DSAI,5305,
DA103DSAI,5303,
CS103DSAI,5304,
CH101EN(H),5303,false
EE101EN(H),5306,true
EE102EN(H),5306,false
MA101EN(H),5401,true
MA102EN(H),5401,false
ME101EN,5303,
EN101EN,5404,